animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Choujuushin Gravion	TV	13	2002-10-07 00:00:00	2002-12-16 00:00:00	11915	6.39	4222	6741	4950	The year is now 2041 AD. A new enemy called Zeravire suddenly appears in the solar system, destroying all military installations it comes across. However, a wealthy man named Klein Sandman is already aware of this planned invasion and had been secretly preparing his army for battle. His trump card is Gravion, a giant robot that utilizes gravity as its source of energy. Meanwhile a young man named Eiji secretly enters Sandman's base in search for his missing sister. It is there that he meets another young man by the name of Toga... These two must now fight together with four other individuals aboard the super robot, Gravion to fend off the Zeravire threat.  (Source: ANN)	['Choujuushin Gravion Zwei']	['Sandman, Klein', 'Tachibana, Mizuki', 'Leele', 'Shigure, Eiji', 'Gusuku, Luna', 'Tenkuji, Toga', 'Eina', 'Marinia', 'Tesera', 'Cécile']	['Hayami, Show', 'Asakawa, Yuu', 'Kuwashima, Houko', 'Suzumura, Kenichi', 'Ikezawa, Haruna', 'Fukuyama, Jun', 'Nakahara, Mai', 'Mizuki, Nana', 'Uchikawa, Ai', 'Omae, Akane']	[['Murahama Shouji', ['Producer']], ['Oobari Masami', ['Director', 'Episode Director', 'Storyboard', 'Assistant Animation Director', 'Key Animation', 'Mechanical Design', 'Original Creator', 'Character Design']], ['Tsuruoka Youta', ['Sound Director']], ['Kanbe Hiroyuki', ['Episode Director', 'Animation Director']]]
