animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Doupo Cangqiong	ONA	12	2017-01-07 00:00:00	2017-04-01 00:00:00	7671	7.26	3358	2601	5937	In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up?  (Source: wuxiaworld.com)	['Doupo Cangqiong', 'Doupo Cangqiong Specials', 'Doupo Cangqiong 2nd Season']	['Xiao, Yan', 'Yao, Chen', 'Xiao, Xun Er', 'Yan Ran, Na Lan']	[]	
