animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Detective Conan OVA 04: Conan and Kid and Crystal Mother	OVA	1	2004-01-01 00:00:00		15700	7.50	8057	1622	4439	Once again, Kaitou Kid has a target in mind: the Crystal Mother, Europe's largest topaz owned by Queen Selizabeth of the Principality of Ingram. He intends to steal this jewel while the Queen is stuck on a train from Tokyo to Osaka. However, Kid's abilities are put to the test, as the Queen has already concealed the gem somewhere aboard the train.   Conan Edogawa, who is among train's passengers, suspects an attack from the phantom thief and begins investigating on his own, while Inspector Ginzou Nakamori is ready for a new confrontation against the elusive jewelry robber.   [Written by MAL Rewrite]	['Detective Conan', 'Magic Kaito', 'Magic Kaito 1412']	['Edogawa, Conan', 'Kuroba, Kaito', 'Selizabeth', 'Mouri, Ran', 'Nakamori, Aoko', 'Nakamori, Ginzou', 'Ingram, Phillip Maximillion', 'Snake', 'Rose']	['Takayama, Minami', 'Yamaguchi, Kappei', 'Shinohara, Emi', 'Yamazaki, Wakana', 'Takayama, Minami', 'Ishizuka, Unshou', 'Teppouzuka, Yoko', 'Ishii, Kouji', 'Suzuki, Mariko']	[['Urakami Yasuo', ['Sound Director']], ['Ogiwara Rokou', ['Episode Director']], ['U-ka Saegusa in db', ['Theme Song Performance', 'Theme Song Lyrics']], ['Aoyama Gosho', ['Original Creator']]]
