animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan	Movie	1	2011-03-12 00:00:00		639	6.63	214	5422	12332	The Ninjutsu Academy students return from summer break to hear that due to one of Komatsuda's mistakes, all their summer homework was mixed up. As a result Kisanta, who received an assignment meant for a sixth year, has gone missing after trying to sneak into Oomagatoki Castle to steal their lord's fundoshi. A group including Shinbei and Kirimaru is sent to rescue him, but since Oomagatoki is at war with Tasogaredoki Castle it might be a difficult mission.   At the same time, Ninjutsu Academy receives a request for support from a village troubled by the war, and Rantarou and the remaining students and teachers head there to help out.	['Nintama Rantarou']	['Settsuno, Kirimaru', 'Fukutomi, Shinbei', 'Inadera, Rantarou', 'Zenpouji, Isaku', 'Doi, Hansuke', 'Ayabe, Kihachirou', 'Yamada, Rikichi', 'Nakazaike, Chouji', 'Tamura, Mikiemon', 'Nanamatsu, Koheita']	['Tanaka, Mayumi', 'Ichiryuusai, Teiyuu', 'Takayama, Minami', 'Okiayu, Ryoutarou', 'Seki, Toshihiko', 'Ishida, Akira', 'Okano, Kousuke', 'Shibuya, Shigeru', 'Adachi, Shinobu', 'Canna, Nobutoshi']	[['Fujimori Masaya', ['Director']], ['Ookuma Akira', ['Sound Director']], ['NYC', ['Theme Song Performance']], ['Hori Takafumi', ['Key Animation']]]
