animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
Endless Serenade	OVA	1	2000-04-14 00:00:00		1878	5.51	637		9581	Based on the visual novel by DISKDREAM.   Yuji can't deny it —he's infatuated with Satsuki. She's the center of his every waking thought, the star of his every wet dream… There's just one major problem. Satsuki is his late brother's fiance. Now, a year after his brother's death, Yuji is hoping the day has finally come to make his move, but a steamy night with Miki, the shy red-headed girl at work, could change everything. Should he be with the girl he's always wanted, or the girl who's always wanted him? 		['Satsuki']	['Sango, Minako']	[['Omata Shinichi', ['Producer']], ['Murakami Teruaki', ['Director', 'Storyboard', 'Key Animation', 'Animation Director', 'Character Design']], ['Yoshida Tomohiro', ['Sound Director']], ['Iida Hiroyoshi', ['Key Animation']]]
