animeTitle	animeType	animeNumEpisode	releaseDate	endDate	animeNumMembers	animeScore	animeUsers	animeRank	animePopularity	animeDescription	animeRelated	animeCharacters	animeVoices	animeStaff
PriPara Movie: Mi~nna no Akogare♪ Let's Go☆Prix Paris	Movie	1	2016-03-12 00:00:00		1821	7.13	605	3202	9712	Falulu is far away in the heart of the PriPara world in Puransu. The sparkle is disappearing from the idol sacred ground PriPara, and Falulu sends an SOS message to Laala and her friends. If the sparkle doesn't return, the PriPara world itself will disappear. Laala and her friends try to help Falulu, and they work together to save the PriPara world.  (Source: ANN)	['PriPara']	['Manaka, Laala', 'Houjou, Sophie', 'Minami, Mirei', 'Kurosu, Aroma', 'Vocaldoll, Falulu', 'West, Leona', 'Toudou, Shion', 'Shiratama, Mikan', 'West, Dorothy', 'Midorikaze, Fuwari']	[]	[['Moriwaki Makoto', ['Director']], ['Satou Masafumi', ['Episode Director', 'Storyboard', 'Assistant Director']], ['SKE48', ['Theme Song Performance']], ['Watanabe Akio', ['Key Animation']]]
